Date,Open,High,Low,Close,Adj Close,Volume
2001-12-31,8.300000,8.300000,8.300000,8.300000,5.047681,75
2002-01-01,8.300000,8.300000,8.300000,8.300000,5.047681,200
2002-01-02,8.300000,8.300000,8.300000,8.300000,5.047681,300
2002-01-03,8.300000,8.300000,8.300000,8.300000,5.047681,0
2002-01-04,7.250000,7.250000,7.250000,7.250000,4.409120,500
2002-01-07,7.250000,7.250000,7.250000,7.250000,4.409120,0
2002-01-08,7.250000,7.250000,7.250000,7.250000,4.409120,0
2002-01-09,7.250000,7.250000,7.250000,7.250000,4.409120,0
2002-01-10,7.250000,7.250000,7.250000,7.250000,4.409120,0
2002-01-11,8.000000,8.000000,8.000000,8.000000,4.865236,500
2002-01-14,9.000000,9.000000,8.000000,8.000000,4.865236,1100
2002-01-15,9.500000,9.500000,9.500000,9.500000,5.777469,500
2002-01-16,8.500000,8.500000,8.500000,8.500000,5.169312,300
2002-01-17,8.500000,8.500000,8.500000,8.500000,5.169312,200
2002-01-18,8.750000,8.750000,7.550000,7.550000,4.591566,1500
2002-01-21,6.100000,6.100000,6.100000,6.100000,3.709743,300
2002-01-22,6.100000,6.100000,6.100000,6.100000,3.709743,0
2002-01-23,6.100000,6.100000,6.100000,6.100000,3.709743,0
2002-01-24,6.100000,6.100000,6.100000,6.100000,3.709743,0
2002-01-25,7.300000,7.300000,7.300000,7.300000,4.439528,100
2002-01-28,8.500000,8.500000,8.500000,8.500000,5.169312,65
2002-01-29,8.500000,8.500000,8.500000,8.500000,5.169312,0
2002-01-30,8.500000,8.500000,8.500000,8.500000,5.169312,0
2002-01-31,9.900000,9.900000,9.900000,9.900000,6.020730,300
2002-02-01,9.900000,9.900000,9.900000,9.900000,6.020730,0
2002-02-04,7.950000,7.950000,7.950000,7.950000,4.834828,150
2002-02-05,8.900000,8.900000,8.900000,8.900000,5.412575,50
2002-02-06,9.950000,10.000000,9.000000,9.000000,5.473390,2300
2002-02-07,9.150000,9.500000,9.150000,9.500000,5.777469,5200
2002-02-08,9.100000,10.250000,9.100000,10.200000,6.203176,3700
2002-02-11,9.750000,12.150000,9.750000,12.150000,7.389075,3125
2002-02-12,12.500000,13.500000,11.300000,13.150000,7.997230,7060
2002-02-13,13.000000,15.000000,13.000000,14.200000,8.635793,4600
2002-02-14,16.950001,17.000000,15.800000,17.000000,10.338625,6900
2002-02-15,20.350000,20.400000,20.350000,20.400000,12.406351,25650
2002-02-18,24.450001,24.450001,23.500000,24.450001,14.869374,48347
2002-02-19,26.000000,27.750000,23.000000,23.950001,14.565301,23004
2002-02-20,20.500000,24.900000,20.500000,23.700001,14.413258,3150
2002-02-21,24.000000,24.000000,21.000000,21.000000,12.771243,2810
2002-02-22,22.500000,23.000000,20.700001,22.549999,13.713884,7252
2002-02-25,22.900000,23.000000,21.100000,21.100000,12.832060,3000
2002-02-26,21.000000,22.200001,21.000000,21.500000,13.075321,3120
2002-02-27,22.000000,22.500000,21.500000,22.000000,13.379401,7551
2002-02-28,22.000000,22.500000,20.000000,20.000000,12.163089,5890
2002-03-01,19.350000,23.850000,18.250000,20.000000,12.163089,4822
2002-03-04,22.750000,22.750000,20.250000,21.799999,13.257765,1850
2002-03-05,21.250000,22.500000,21.049999,21.900000,13.318584,5650
2002-03-06,21.700001,22.799999,21.700001,22.500000,13.683475,6700
2002-03-07,22.900000,23.000000,22.500000,23.000000,13.987555,9450
2002-03-08,22.000000,23.900000,22.000000,22.549999,13.713884,15681
2002-03-11,21.799999,22.000000,21.799999,22.000000,13.379401,900
2002-03-12,25.000000,25.000000,20.600000,20.600000,12.527982,300
2002-03-13,20.500000,22.500000,20.500000,22.450001,13.653067,12950
2002-03-14,20.549999,21.100000,20.549999,21.049999,12.801650,502
2002-03-15,21.150000,23.000000,21.000000,21.000000,12.771243,301300
2002-03-18,22.200001,22.600000,22.000000,22.500000,13.683475,21010
2002-03-19,24.450001,24.450001,22.000000,22.049999,13.409806,2360
2002-03-20,21.350000,22.500000,21.250000,21.750000,13.227359,1864
2002-03-21,21.100000,23.850000,21.100000,23.850000,14.504484,2939
2002-03-22,24.900000,24.900000,22.000000,22.000000,13.379401,950
2002-03-25,22.000000,22.000000,22.000000,22.000000,13.379401,0
2002-03-26,23.799999,25.500000,22.299999,25.100000,15.264676,33600
2002-03-27,25.750000,25.750000,24.000000,25.049999,15.234266,9999
2002-03-28,25.049999,25.049999,25.049999,25.049999,15.234266,0
2002-03-29,25.049999,25.049999,25.049999,25.049999,15.234266,0
2002-04-01,25.000000,25.200001,24.000000,25.000000,15.203864,11600
